experiment_name,experiment_date,cluster_name,gpu_type,gpu_memory,collective,operation,algorithm,num_nodes,num_gpus,num_channels,num_chunks,buffer_size,gpus_as_nodes,iteration,message_size,count,dtype,redop,root,oop_time,oop_alg_bw,oop_bus_bw,oop_num_wrong,ip_time,ip_alg_bw,ip_bus_bw,ip_num_wrong
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,16,1,false,0,16777216,4194304,float,sum,-1,3653.3,4.59,8.61,0,3706.1,4.53,8.49,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,16,1,false,0,33554432,8388608,float,sum,-1,7593.8,4.42,8.29,0,7490.3,4.48,8.4,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,16,1,false,0,67108864,16777216,float,sum,-1,15651.0,4.29,8.04,0,15659.0,4.29,8.04,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,16,1,false,0,134217728,33554432,float,sum,-1,31015.0,4.33,8.11,0,31128.0,4.31,8.08,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,16,1,false,0,268435456,67108864,float,sum,-1,60846.0,4.41,8.27,0,60799.0,4.42,8.28,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,4,16,2,false,0,65536,16384,float,sum,-1,430.4,0.15,0.29,0,426.2,0.15,0.3,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,4,16,2,false,0,131072,32768,float,sum,-1,440.6,0.3,0.58,0,430.6,0.3,0.59,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,4,16,2,false,0,262144,65536,float,sum,-1,438.9,0.6,1.16,0,17708.0,0.01,0.03,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,4,16,2,false,0,524288,131072,float,sum,-1,45480.0,0.01,0.02,0,5144.0,0.1,0.2,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,4,16,2,false,0,1048576,262144,float,sum,-1,588.3,1.78,3.45,0,547.1,1.92,3.71,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,4,16,2,false,0,2097152,524288,float,sum,-1,645.3,3.25,6.3,0,643.6,3.26,6.31,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,4,16,2,false,0,4194304,1048576,float,sum,-1,1009.2,4.16,8.05,0,1006.8,4.17,8.07,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,4,16,2,false,0,8388608,2097152,float,sum,-1,1890.3,4.44,8.6,0,1910.3,4.39,8.51,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,4,16,2,false,0,16777216,4194304,float,sum,-1,3797.1,4.42,8.56,0,3783.3,4.43,8.59,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,4,16,2,false,0,33554432,8388608,float,sum,-1,8210.2,4.09,7.92,0,8156.9,4.11,7.97,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,8,32,4,16,2,false,0,67108864,16777216,float,sum,-1,17393.0,3.86,7.48,0,17533.0,3.83,7.42,0
